
VALID | LP190734623SG : -Send item out for physical delivery (Country: ID)  : China : Indonesia : 2021-02-06 11:08:00
VALID | LP193739908SG : Delivered  : China : New Zealand : 2021-03-25 14:04:00
VALID | LP193432936SG : [TOKYO,104-8799]Final delivery  : China : Japan : 2021-03-10 12:43:00
VALID | LP192799281SG : -Hold item at point of delivery (Country: ID)  : China : Indonesia : 2021-03-29 15:20:00
VALID | LP195430495SG : Transit to Destination Processing Facility  : China : Indonesia : 2021-04-07 13:26:00
VALID | LP193716558SG : Delivered  : China : China : 2021-03-09 10:41:00
VALID | LP192249704SG : Final delivery,Delivered to: /RESIDENT  : China : Thailand : 2021-02-17 10:30:00
VALID | LP195593661SG : Delivered  : China : Japan : 2021-03-29 14:45:00
VALID | LP191010921SG : Final delivery,Delivered to: /HOUSEMAID  : China : Thailand : 2021-02-03 09:45:00
VALID | LP192189696SG : -Send item out for physical delivery (Country: ID)  : China : Indonesia : 2021-03-12 10:41:00
VALID | LP193250465SG : [山梨県,400-0299]お届け済み  : China : Japan : 2021-03-06 13:32:00
VALID | LP195983463SG : Final delivery,Delivered to: /REPRESENTATIVE  : China : Thailand : 2021-03-31 14:49:00
VALID | LP191606254SG : [TOKYO,131-8799]Final delivery  : China : Japan : 2021-02-12 11:56:00
VALID | LP195680808SG : Shipment cancelled  : China : Japan : 2021-03-26 14:27:32
VALID | LP190734946SG : Shipment cancelled  : China : Thailand : 2021-01-29 01:43:51
VALID | LP191730305SG : Final delivery,Delivered to: /EMPLOYEE  : China : Thailand : 2021-02-11 10:25:00
VALID | LP191874162SG : Final delivery,Delivered to: /FATHER  : China : Thailand : 2021-02-16 13:58:00
VALID | LP196607662SG : -Despatched to OverSeas Postal Admin (From SG/SIN to JP/KWS)  : China : Japan : 2021-04-02 05:21:39
VALID | LP194151662SG : Delivered  : China : Malaysia : 2021-03-15 13:31:00
VALID | LP196955509SG : 成功  : China : Japan : 2021-04-06 03:38:21
VALID | LP190227065SG : Delivered  : China : China : 2021-01-21 11:03:00
VALID | LP191907682SG : -Hold item at point of delivery (Country: ID)  : China : Indonesia : 2021-02-22 09:09:00
VALID | LP194714920SG : Product Delivered (Country/Region code: HK)  : China : China : 2021-03-18 11:21:00
VALID | LP197130281SG : -Despatched to OverSeas Postal Admin (From SG/SIN to MY/KUL)  : China : Malaysia : 2021-04-08 09:32:08
